month,day,subjectivity
1,1,0.4375
1,2,0.0
1,3,0.530952380952381
1,4,0.34615384615384615
1,5,0.0
1,6,0.3263888888888889
1,7,0.16785714285714287
1,9,0.6000000000000001
1,10,0.24444444444444444
1,11,0.43333333333333335
1,12,0.3805448717948718
1,13,0.6375
1,14,0.41666666666666674
1,17,0.3189055735930736
1,18,0.38956140350877194
1,19,0.24427083333333333
1,20,0.21875
1,21,0.4833333333333333
1,22,0.12666666666666665
1,23,0.575
1,24,0.21666666666666667
1,26,0.0
1,27,0.4
1,28,0.1789285714285714
1,30,0.2
1,31,0.5833333333333334
2,1,0.43154761904761907
2,3,0.5
2,4,0.15416666666666667
2,5,0.28125
2,6,1.0
2,7,0.1
2,8,0.44333333333333336
2,9,0.2666666666666667
2,10,0.3628571428571429
2,11,0.5399999999999999
2,13,0.0
2,14,0.625
2,15,0.125
2,17,0.5625
2,21,0.625
2,22,0.625
2,23,0.1
2,24,0.17916666666666667
2,25,0.4499206349206349
2,26,0.4267857142857142
2,27,0.55
2,28,0.3055555555555555
3,2,0.3
3,3,0.45
3,4,0.5916666666666667
3,5,0.2833333333333333
3,6,0.0
3,7,0.0
3,8,0.1875
3,9,1.0
3,10,0.16944444444444443
3,11,0.1875
3,14,0.0
3,15,0.6944444444444445
3,16,0.03333333333333333
3,17,0.0
3,20,0.0
3,23,0.06666666666666667
3,26,0.37520075757575755
3,28,0.4
3,29,0.0
3,30,0.16666666666666666
3,31,0.525
4,3,0.1
4,5,0.0625
4,6,0.3125
4,7,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,13,0.19166666666666665
4,14,0.2875
4,15,0.0
4,18,0.45
4,19,0.25
4,20,0.0
4,21,0.5666666666666667
4,22,0.5138888888888888
4,23,0.125
4,24,0.1125
4,25,0.58
4,26,0.1
4,27,0.125
4,28,0.25
4,30,0.09583333333333333
5,1,0.0
5,2,0.3484722222222222
5,4,0.375
5,5,0.2864583333333333
5,6,0.16666666666666666
5,7,0.0
5,8,0.4416666666666667
5,9,0.5
5,10,0.6875
5,11,0.0
5,12,0.0
5,13,0.46666666666666673
5,15,0.40138888888888885
5,16,0.2833333333333333
5,17,0.334375
5,18,0.0
5,19,0.525
5,20,0.45138888888888884
5,21,0.29583333333333334
5,22,0.1875
5,26,0.20000000000000004
5,27,0.1
5,28,0.27777777777777773
5,29,0.26706349206349206
5,30,0.0
5,31,0.26666666666666666
6,1,0.2875
6,2,0.5933333333333334
6,3,0.5666666666666667
6,4,0.5
6,5,0.0
6,6,0.355
6,7,0.05833333333333333
6,8,0.4125
6,9,0.0
6,10,0.9
6,11,0.3993055555555556
6,12,0.371875
6,13,0.2
6,14,0.1875
6,15,0.45
6,16,0.3
6,17,0.5511363636363636
6,18,0.2
6,20,0.862962962962963
6,22,0.0
6,24,1.0
6,27,0.0
6,28,0.3952380952380952
6,29,0.3541666666666667
6,30,0.7916666666666666
7,1,0.15151515151515152
7,2,0.30808823529411766
7,3,0.3462585034013605
7,4,0.5464466089466089
7,5,0.36448412698412697
7,7,0.2747596153846154
7,8,0.4375
7,9,0.825
7,10,0.4583333333333333
7,12,0.25
7,16,0.2
7,17,0.33055555555555555
7,18,0.15520833333333334
7,19,0.49722222222222223
7,20,0.325
7,21,1.0
7,22,0.0
7,23,0.0
7,24,0.5357142857142857
7,25,0.0
7,26,0.0
7,27,0.36180555555555555
7,28,0.0
7,31,0.12777777777777777
8,1,0.2591666666666667
8,2,0.2333333333333333
8,4,0.0
8,5,0.35
8,6,0.19
8,7,0.0
8,8,0.8333333333333334
8,9,0.5125
8,10,0.2041666666666667
8,11,0.95
8,12,0.05
8,13,0.7272727272727273
8,14,0.2541666666666667
8,15,1.0
8,16,0.0
8,18,0.4
8,19,0.6000000000000001
8,20,0.28888888888888886
8,22,0.5659722222222222
8,23,0.0
8,24,0.0
8,26,0.6270833333333333
8,27,0.55
8,28,0.10833333333333332
8,30,0.4395833333333333
8,31,0.0
9,1,0.275
9,3,0.4
9,4,0.2869444444444445
9,5,0.39462121212121215
9,6,0.15763888888888888
9,7,0.4583333333333333
9,8,0.13333333333333333
9,9,0.0
9,11,0.07692307692307693
9,12,1.0
9,13,0.11666666666666668
9,14,0.4000000000000001
9,15,0.4
9,16,0.6064814814814814
9,17,0.7177083333333334
9,18,0.0
9,19,0.34375
9,20,0.15833333333333333
9,21,0.3666666666666667
9,22,0.75
9,23,0.0
9,24,0.6388888888888888
9,25,0.4375
9,26,0.5
9,27,0.0
9,29,0.0
9,30,0.75
10,2,1.0
10,3,0.5604166666666667
10,4,0.16944444444444443
10,5,0.29500000000000004
10,6,0.6041666666666666
10,10,0.5
10,11,0.35
10,12,0.25833333333333336
10,13,0.4625
10,14,0.48750000000000004
10,15,0.5833333333333333
10,16,0.5
10,17,0.1875
10,18,0.4369791666666666
10,19,0.36250000000000004
10,21,0.9
10,22,0.5439814814814815
10,23,0.10472222222222223
10,24,0.14490740740740743
10,25,0.32052469135802464
10,26,0.30000000000000004
10,27,1.0
10,29,0.5
10,31,0.6583333333333333
11,1,0.4083333333333333
11,2,0.46222222222222226
11,3,0.3229166666666667
11,4,0.37422639089305765
11,5,0.3543181818181818
11,6,0.30138888888888893
11,7,0.25
11,8,0.4513888888888889
11,9,0.45
11,10,0.4214529914529914
11,11,0.3123456790123457
11,12,0.43333333333333335
11,13,0.375
11,14,0.4666666666666666
11,15,0.4177083333333333
11,16,0.26805555555555555
11,17,0.446875
11,18,0.23730158730158726
11,19,0.0
11,20,0.25
11,21,0.0
11,22,0.6000000000000001
11,23,0.13
11,24,0.2
11,25,0.0
11,26,0.28484848484848485
11,27,0.0
11,28,0.375
11,29,0.45
11,30,0.49374999999999997
12,1,0.3325
12,2,0.46749999999999997
12,3,0.1
12,6,0.3333333333333333
12,7,0.0
12,8,0.0
12,9,0.2416666666666667
12,10,0.07500000000000001
12,11,0.3625
12,12,0.390625
12,13,0.3725925925925926
12,14,0.4306547619047619
12,15,0.4628787878787879
12,16,0.19772727272727275
12,17,0.21333333333333332
12,18,0.29583333333333334
12,19,0.0
12,20,0.3869047619047619
12,21,0.13607142857142857
12,22,0.37142857142857144
12,23,0.0
12,24,0.4645833333333333
12,27,0.55
12,28,0.5666666666666667
12,29,0.4777777777777778
12,30,0.19166666666666665
